order_id,user_id,amount,category,product,event_time,status
D00001,U1001,841.6,旅行,机票,2026-01-01T10:00:00,paid
D00002,U1001,705.61,旅行,机票,2026-01-01T10:00:00,paid
D00003,U1001,653.97,旅行,机票,2026-01-01T10:00:00,paid
D00004,U1001,374.54,旅行,机票,2026-01-01T10:00:00,paid
D00005,U1001,768.69,旅行,酒店,2026-01-01T10:00:00,paid
D00006,U1001,697.95,旅行,机票,2026-01-01T10:00:00,paid
D00007,U1001,379.98,旅行,机票,2026-01-01T10:00:00,paid
D00008,U1001,558.49,旅行,酒店,2026-01-01T10:00:00,paid
D00009,U1001,523.6,旅行,机票,2026-01-01T10:00:00,paid
D00010,U1001,731.68,旅行,机票,2026-01-01T10:00:00,paid
D00011,U1002,616.3,旅行,酒店,2026-01-01T10:00:00,paid
D00012,U1002,780.03,旅行,酒店,2026-01-01T10:00:00,paid
D00013,U1002,756.83,旅行,机票,2026-01-01T10:00:00,paid
D00014,U1002,730.64,旅行,酒店,2026-01-01T10:00:00,paid
D00015,U1002,795.92,旅行,酒店,2026-01-01T10:00:00,paid
D00016,U1002,371.04,旅行,机票,2026-01-01T10:00:00,paid
D00017,U1003,316.67,旅行,机票,2026-01-01T10:00:00,paid
D00018,U1003,556.78,旅行,酒店,2026-01-01T10:00:00,paid
D00019,U1003,662.41,旅行,机票,2026-01-01T10:00:00,paid
D00020,U1003,620.04,旅行,机票,2026-01-01T10:00:00,paid
D00021,U1003,1079.4,旅行,酒店,2026-01-01T10:00:00,paid
D00022,U1003,642.81,旅行,机票,2026-01-01T10:00:00,paid
D00023,U1003,629.31,旅行,酒店,2026-01-01T10:00:00,paid
D00024,U1003,965.43,旅行,酒店,2026-01-01T10:00:00,paid
D00025,U1004,493.36,旅行,酒店,2026-01-01T10:00:00,paid
D00026,U1004,919.77,旅行,机票,2026-01-01T10:00:00,paid
D00027,U1004,530.63,旅行,机票,2026-01-01T10:00:00,paid
D00028,U1004,647.46,旅行,酒店,2026-01-01T10:00:00,paid
D00029,U1004,621.9,旅行,酒店,2026-01-01T10:00:00,paid
D00030,U1004,1141.14,旅行,机票,2026-01-01T10:00:00,paid
D00031,U1005,874.39,旅行,酒店,2026-01-01T10:00:00,paid
D00032,U1005,385.49,旅行,机票,2026-01-01T10:00:00,paid
D00033,U1005,750.04,旅行,机票,2026-01-01T10:00:00,paid
D00034,U1005,485.65,旅行,机票,2026-01-01T10:00:00,paid
D00035,U1005,905.66,旅行,机票,2026-01-01T10:00:00,paid
D00036,U1005,542.96,旅行,酒店,2026-01-01T10:00:00,paid
D00037,U1005,565.39,旅行,机票,2026-01-01T10:00:00,paid
D00038,U1005,510.36,旅行,酒店,2026-01-01T10:00:00,paid
D00039,U1005,665.67,旅行,机票,2026-01-01T10:00:00,paid
D00040,U1005,832.86,旅行,酒店,2026-01-01T10:00:00,paid
D00041,U1006,844.98,旅行,酒店,2026-01-01T10:00:00,paid
D00042,U1006,556.65,旅行,机票,2026-01-01T10:00:00,paid
D00043,U1006,591.09,旅行,机票,2026-01-01T10:00:00,paid
D00044,U1006,674.67,旅行,机票,2026-01-01T10:00:00,paid
D00045,U1006,749.05,旅行,机票,2026-01-01T10:00:00,paid
D00046,U1006,778.7,旅行,酒店,2026-01-01T10:00:00,paid
D00047,U1006,474.27,旅行,机票,2026-01-01T10:00:00,paid
D00048,U1006,861.91,旅行,酒店,2026-01-01T10:00:00,paid
D00049,U1006,1078.43,旅行,酒店,2026-01-01T10:00:00,paid
D00050,U1006,606.79,旅行,机票,2026-01-01T10:00:00,paid
D00051,U1007,574.68,旅行,机票,2026-01-01T10:00:00,paid
D00052,U1007,449.8,旅行,酒店,2026-01-01T10:00:00,paid
